date,open,high,low,close,volume
2022-01-03T00:00:00Z,223.710000,226.690000,222.730000,225.320000,30618792
2022-01-04T00:00:00Z,226.000000,227.130000,223.380000,224.980000,22013134
2022-01-05T00:00:00Z,224.870000,225.910000,217.320000,217.360000,40582077
2022-01-06T00:00:00Z,217.820000,220.420000,215.820000,218.600000,39105870
2022-01-07T00:00:00Z,218.600000,220.380000,215.925000,216.070000,31583886
2022-01-10T00:00:00Z,214.770000,215.385000,211.110000,215.320000,45778073
2022-01-11T00:00:00Z,215.480000,217.830000,212.960000,217.610000,35209892
2022-01-12T00:00:00Z,218.520000,219.380000,214.640000,215.990000,35284512
2022-01-13T00:00:00Z,216.810000,218.190000,213.380000,214.010000,34489556
2022-01-14T00:00:00Z,211.990000,214.400000,210.580000,214.310000,42020871
2022-01-18T00:00:00Z,212.200000,212.440000,207.530000,207.830000,49512155
2022-01-19T00:00:00Z,208.810000,209.460000,204.380000,204.450000,46209065
2022-01-20T00:00:00Z,205.380000,208.990000,200.330000,200.750000,50465974
2022-01-21T00:00:00Z,199.760000,203.020000,196.990000,196.990000,85821001
2022-01-24T00:00:00Z,194.070000,202.390000,191.230000,201.530000,85903216
2022-01-25T00:00:00Z,198.480000,201.700000,194.560000,198.840000,61088549
2022-01-26T00:00:00Z,201.780000,203.550000,193.720000,195.970000,71471745
2022-01-27T00:00:00Z,197.630000,199.610000,190.601000,191.520000,59829045
2022-01-28T00:00:00Z,191.700000,195.310000,188.090000,195.250000,65869951
2022-01-31T00:00:00Z,194.390000,201.240000,193.850000,201.240000,53393759
2022-02-01T00:00:00Z,201.660000,203.570000,197.965000,203.360000,43429351
2022-02-02T00:00:00Z,203.620000,203.900000,199.290000,201.340000,42777817
2022-02-03T00:00:00Z,198.840000,201.240000,197.050000,197.530000,39629365
2022-02-04T00:00:00Z,197.040000,200.100000,194.920000,198.380000,34291072
2022-02-07T00:00:00Z,198.430000,201.160000,197.990000,199.360000,33242576
2022-02-08T00:00:00Z,199.470000,203.120000,199.360000,202.760000,28341923
2022-02-09T00:00:00Z,204.570000,206.650000,204.300000,206.610000,27329310
2022-02-10T00:00:00Z,202.900000,209.050000,202.120000,203.440000,44788095
2022-02-11T00:00:00Z,203.650000,206.060000,199.690000,201.380000,41516553
