date,open,high,low,close,volume
2022-01-03T00:00:00Z,399.050000,401.940000,396.880000,401.680000,40575854
2022-01-04T00:00:00Z,402.240000,402.280000,393.288000,396.470000,58027206
2022-01-05T00:00:00Z,394.740000,395.890000,384.030000,384.290000,75739847
2022-01-06T00:00:00Z,382.420000,387.350000,380.130000,384.020000,70814324
2022-01-07T00:00:00Z,384.030000,385.760000,378.040000,379.860000,72652304
2022-01-10T00:00:00Z,374.820000,380.640000,369.310000,380.110000,91770497
2022-01-11T00:00:00Z,379.355000,385.989900,377.218200,385.820000,68295698
2022-01-12T00:00:00Z,388.460000,390.200000,385.010000,387.350000,54576366
2022-01-13T00:00:00Z,388.770000,389.470000,376.700000,377.660000,77993962
2022-01-14T00:00:00Z,375.070000,380.350000,374.860000,380.010000,80121210
2022-01-18T00:00:00Z,374.040000,376.220000,369.770400,370.550000,75812296
2022-01-19T00:00:00Z,372.150000,374.690000,366.210000,366.480000,81791482
2022-01-20T00:00:00Z,369.790000,373.870000,361.170000,361.720000,88610680
2022-01-21T00:00:00Z,359.470000,362.180000,351.400000,351.690000,143388920
2022-01-24T00:00:00Z,345.905000,353.980000,334.150000,353.300000,199448109
2022-01-25T00:00:00Z,346.670000,351.029500,341.680000,345.110000,124398394
2022-01-26T00:00:00Z,352.910000,356.880000,340.780000,344.570000,146559524
2022-01-27T00:00:00Z,349.400000,351.270000,340.050000,341.100000,95255656
2022-01-28T00:00:00Z,343.030000,352.020000,337.950000,351.800000,108167897
2022-01-31T00:00:00Z,353.200000,363.650000,351.520000,363.050000,94326389
2022-02-01T00:00:00Z,364.430000,366.190000,359.140000,365.520000,74433023
2022-02-02T00:00:00Z,369.760000,370.100000,364.285000,368.490000,78777135
2022-02-03T00:00:00Z,358.530000,361.930000,352.460000,353.550000,95384771
2022-02-04T00:00:00Z,354.080000,361.400000,351.970000,358.010000,86318301
2022-02-07T00:00:00Z,358.620000,361.050000,353.840000,355.130000,58198087
2022-02-08T00:00:00Z,353.960000,360.240000,352.800000,359.120000,64720897
2022-02-09T00:00:00Z,363.760000,366.810000,362.120000,366.730000,55766422
2022-02-10T00:00:00Z,359.520000,366.488500,356.540000,358.430000,112468483
2022-02-11T00:00:00Z,358.430000,360.070000,345.800000,347.060000,101569102
2022-02-14T00:00:00Z,346.490000,350.980000,343.890000,347.490000,80254439
2022-02-15T00:00:00Z,347.490000,356.370000,347.490000,356.130000,55390805
2022-02-16T00:00:00Z,353.820000,357.089600,350.710000,356.040000,58947086
2022-02-17T00:00:00Z,352.740000,353.460000,345.020000,345.450000,61801353
2022-02-18T00:00:00Z,346.410000,346.810000,339.140000,341.510000,80001513
2022-02-22T00:00:00Z,338.490000,344.040000,334.350000,338.080000,85967095
2022-02-23T00:00:00Z,341.320000,342.183000,329.100000,329.420000,86215371
2022-02-24T00:00:00Z,318.840000,341.040000,318.260000,340.490000,130614053
2022-02-25T00:00:00Z,341.310000,345.980000,337.390000,345.770000,78842088
2022-02-28T00:00:00Z,342.510000,348.540000,341.320000,346.800000,77515544
2022-03-01T00:00:00Z,345.750000,348.078000,338.900000,341.490000,67407000
2022-03-02T00:00:00Z,343.080000,348.590000,340.240000,347.220000,70609015
2022-03-03T00:00:00Z,349.930000,350.040000,340.350000,342.260000,71089385
2022-03-04T00:00:00Z,339.840000,341.310000,334.920000,337.300000,77009763
2022-03-07T00:00:00Z,337.290000,338.480000,324.650000,324.860000,89933794
2022-03-08T00:00:00Z,324.050000,333.210000,319.940000,323.350000,116153921
