date,open,high,low,close,volume
2022-01-03T00:00:00Z,382.583333,400.356666,378.680000,399.926666,104686047
2022-01-04T00:00:00Z,396.516666,402.666666,374.350000,383.196666,100248258
2022-01-05T00:00:00Z,382.216666,390.113333,360.336700,362.706666,80119797
2022-01-06T00:00:00Z,359.000000,362.666666,340.166666,354.900000,90336474
2022-01-07T00:00:00Z,360.123333,360.309966,336.666666,342.320000,84164748
2022-01-10T00:00:00Z,333.333333,353.033333,326.666666,352.706666,91814877
2022-01-11T00:00:00Z,351.223333,358.616666,346.273333,354.800000,66063210
2022-01-12T00:00:00Z,359.616666,371.613333,357.530033,368.740000,83739015
2022-01-13T00:00:00Z,369.688333,371.866666,342.179700,343.853333,97209792
2022-01-14T00:00:00Z,339.960000,350.666666,337.792933,349.870000,72924411
2022-01-18T00:00:00Z,342.201666,356.929966,338.686666,343.503333,66989409
2022-01-19T00:00:00Z,347.235000,351.556633,331.666666,331.883333,75442488
2022-01-20T00:00:00Z,336.576666,347.220000,331.333333,332.090000,70488744
2022-01-21T00:00:00Z,332.113333,334.850000,313.500000,314.633333,103416027
2022-01-24T00:00:00Z,301.586666,311.171033,283.823333,310.000000,152375142
2022-01-25T00:00:00Z,304.733333,317.086666,301.070000,306.133333,86595906
2022-01-26T00:00:00Z,317.476666,329.230000,302.000000,312.470000,104867283
2022-01-27T00:00:00Z,311.120000,311.796666,276.333333,276.366666,147109569
2022-01-28T00:00:00Z,277.186666,285.833333,264.003333,282.116666,134788950
2022-01-31T00:00:00Z,290.903333,312.663333,287.350000,312.240000,104436096
2022-02-01T00:00:00Z,311.736666,314.566666,301.666666,310.416666,73138338
2022-02-02T00:00:00Z,309.393333,310.500000,296.470000,301.886666,66793035
2022-02-03T00:00:00Z,294.000000,312.333333,293.506666,297.046666,78855558
2022-02-04T00:00:00Z,299.073333,312.166666,293.723333,307.773333,73625466
2022-02-07T00:00:00Z,307.930000,315.923333,300.902966,302.446666,60994464
2022-02-08T00:00:00Z,301.843333,308.763300,298.266666,307.333333,50729013
2022-02-09T00:00:00Z,311.666666,315.423300,306.666666,310.666666,52259544
2022-02-10T00:00:00Z,302.790000,314.603333,298.900000,301.516666,66126831
2022-02-11T00:00:00Z,303.210000,305.320000,283.566666,286.666666,79645869
2022-02-14T00:00:00Z,287.190000,299.626633,284.383333,291.920000,67756416
2022-02-15T00:00:00Z,291.920000,307.666666,291.920000,307.476666,57649542
2022-02-16T00:00:00Z,304.683333,308.809966,300.403333,307.796666,51294396
2022-02-17T00:00:00Z,304.420000,306.166633,291.366666,292.116666,55178418
2022-02-18T00:00:00Z,295.333333,295.623333,279.203333,285.660000,68501841
2022-02-22T00:00:00Z,278.043333,285.577933,267.033366,273.843333,83288202
